Sexo,Provincias,Tasas,Periodo,Total
Ambos sexos,Albacete,Tasa de paro de la población,2023T4,11.96
Ambos sexos,Alicante/Alacant,Tasa de paro de la población,2023T4,13.28
Ambos sexos,Almería,Tasa de paro de la población,2023T4,14.46
Ambos sexos,Araba/Álava,Tasa de paro de la población,2023T4,5.03
Ambos sexos,Asturias,Tasa de paro de la población,2023T4,11.81
Ambos sexos,Ávila,Tasa de paro de la población,2023T4,11.3
Ambos sexos,Badajoz,Tasa de paro de la población,2023T4,17.59
Ambos sexos,Islas Baleares,Tasa de paro de la población,2023T4,11.38
Ambos sexos,Barcelona,Tasa de paro de la población,2023T4,8.44
Ambos sexos,Vizcaya,Tasa de paro de la población,2023T4,6.69
Ambos sexos,Burgos,Tasa de paro de la población,2023T4,8.41
Ambos sexos,Cáceres,Tasa de paro de la población,2023T4,13.96
Ambos sexos,Cádiz,Tasa de paro de la población,2023T4,20.82
Ambos sexos,Cantabria,Tasa de paro de la población,2023T4,7.48
Ambos sexos,Castellón/Castelló,Tasa de paro de la población,2023T4,13.97
Ambos sexos,Ciudad Real,Tasa de paro de la población,2023T4,16.27
Ambos sexos,Córdoba,Tasa de paro de la población,2023T4,15.43
Ambos sexos,A Coruña,Tasa de paro de la población,2023T4,8.44
Ambos sexos,Cuenca,Tasa de paro de la población,2023T4,11.3
Ambos sexos,Guipúzcoa,Tasa de paro de la población,2023T4,6.35
Ambos sexos,Gerona,Tasa de paro de la población,2023T4,9.28
Ambos sexos,Granada,Tasa de paro de la población,2023T4,21.34
Ambos sexos,Guadalajara,Tasa de paro de la población,2023T4,9.31
Ambos sexos,Huelva,Tasa de paro de la población,2023T4,20.57
Ambos sexos,Huesca,Tasa de paro de la población,2023T4,10.85
Ambos sexos,Jaén,Tasa de paro de la población,2023T4,18.95
Ambos sexos,León,Tasa de paro de la población,2023T4,10.34
Ambos sexos,Lérida,Tasa de paro de la población,2023T4,5.42
Ambos sexos,Lugo,Tasa de paro de la población,2023T4,7.35
Ambos sexos,Madrid,Tasa de paro de la población,2023T4,9.72
Ambos sexos,Málaga,Tasa de paro de la población,2023T4,16.49
Ambos sexos,Murcia,Tasa de paro de la población,2023T4,11.32
Ambos sexos,Navarra,Tasa de paro de la población,2023T4,9.32
Ambos sexos,Orense,Tasa de paro de la población,2023T4,9.77
Ambos sexos,Palencia,Tasa de paro de la población,2023T4,6.92
Ambos sexos,Las Palmas,Tasa de paro de la población,2023T4,15.48
Ambos sexos,Pontevedra,Tasa de paro de la población,2023T4,10.41
Ambos sexos,La Rioja,Tasa de paro de la población,2023T4,9.52
Ambos sexos,Salamanca,Tasa de paro de la población,2023T4,10.56
Ambos sexos,Santa Cruz de Tenerife,Tasa de paro de la población,2023T4,16.94
Ambos sexos,Segovia,Tasa de paro de la población,2023T4,8.01
Ambos sexos,Sevilla,Tasa de paro de la población,2023T4,15.69
Ambos sexos,Soria,Tasa de paro de la población,2023T4,5.36
Ambos sexos,Tarragona,Tasa de paro de la población,2023T4,14.45
Ambos sexos,Teruel,Tasa de paro de la población,2023T4,9.46
Ambos sexos,Toledo,Tasa de paro de la población,2023T4,11.84
Ambos sexos,Valencia/València,Tasa de paro de la población,2023T4,11.93
Ambos sexos,Valladolid,Tasa de paro de la población,2023T4,8.62
Ambos sexos,Zamora,Tasa de paro de la población,2023T4,15.41
Ambos sexos,Zaragoza,Tasa de paro de la población,2023T4,6.96
Ambos sexos,Ceuta,Tasa de paro de la población,2023T4,28.35
Ambos sexos,Melilla,Tasa de paro de la población,2023T4,27.42
