Sexo,Provincias,Tasas,Periodo,Total
Ambos sexos,Albacete,Tasa de paro de la población,2023T2,12.73
Ambos sexos,Alicante/Alacant,Tasa de paro de la población,2023T2,12.67
Ambos sexos,Almería,Tasa de paro de la población,2023T2,16.34
Ambos sexos,Araba/Álava,Tasa de paro de la población,2023T2,6.66
Ambos sexos,Asturias,Tasa de paro de la población,2023T2,10.45
Ambos sexos,Ávila,Tasa de paro de la población,2023T2,11.86
Ambos sexos,Badajoz,Tasa de paro de la población,2023T2,18.05
Ambos sexos,Islas Baleares,Tasa de paro de la población,2023T2,7.15
Ambos sexos,Barcelona,Tasa de paro de la población,2023T2,8.52
Ambos sexos,Vizcaya,Tasa de paro de la población,2023T2,7.63
Ambos sexos,Burgos,Tasa de paro de la población,2023T2,7.67
Ambos sexos,Cáceres,Tasa de paro de la población,2023T2,15.19
Ambos sexos,Cádiz,Tasa de paro de la población,2023T2,22.09
Ambos sexos,Cantabria,Tasa de paro de la población,2023T2,8.12
Ambos sexos,Castellón/Castelló,Tasa de paro de la población,2023T2,14.37
Ambos sexos,Ciudad Real,Tasa de paro de la población,2023T2,15.24
Ambos sexos,Córdoba,Tasa de paro de la población,2023T2,21.81
Ambos sexos,A Coruña,Tasa de paro de la población,2023T2,9.15
Ambos sexos,Cuenca,Tasa de paro de la población,2023T2,12.3
Ambos sexos,Guipúzcoa,Tasa de paro de la población,2023T2,6.51
Ambos sexos,Gerona,Tasa de paro de la población,2023T2,8.77
Ambos sexos,Granada,Tasa de paro de la población,2023T2,18.23
Ambos sexos,Guadalajara,Tasa de paro de la población,2023T2,9.29
Ambos sexos,Huelva,Tasa de paro de la población,2023T2,15.28
Ambos sexos,Huesca,Tasa de paro de la población,2023T2,8.06
Ambos sexos,Jaén,Tasa de paro de la población,2023T2,17.07
Ambos sexos,León,Tasa de paro de la población,2023T2,9.24
Ambos sexos,Lérida,Tasa de paro de la población,2023T2,7.71
Ambos sexos,Lugo,Tasa de paro de la población,2023T2,8.15
Ambos sexos,Madrid,Tasa de paro de la población,2023T2,9.56
Ambos sexos,Málaga,Tasa de paro de la población,2023T2,15.82
Ambos sexos,Murcia,Tasa de paro de la población,2023T2,12.35
Ambos sexos,Navarra,Tasa de paro de la población,2023T2,8.79
Ambos sexos,Orense,Tasa de paro de la población,2023T2,9.05
Ambos sexos,Palencia,Tasa de paro de la población,2023T2,8.59
Ambos sexos,Las Palmas,Tasa de paro de la población,2023T2,14.4
Ambos sexos,Pontevedra,Tasa de paro de la población,2023T2,10.72
Ambos sexos,La Rioja,Tasa de paro de la población,2023T2,7.46
Ambos sexos,Salamanca,Tasa de paro de la población,2023T2,9.99
Ambos sexos,Santa Cruz de Tenerife,Tasa de paro de la población,2023T2,16.17
Ambos sexos,Segovia,Tasa de paro de la población,2023T2,6.64
Ambos sexos,Sevilla,Tasa de paro de la población,2023T2,17.73
Ambos sexos,Soria,Tasa de paro de la población,2023T2,8.0
Ambos sexos,Tarragona,Tasa de paro de la población,2023T2,7.96
Ambos sexos,Teruel,Tasa de paro de la población,2023T2,8.85
Ambos sexos,Toledo,Tasa de paro de la población,2023T2,13.43
Ambos sexos,Valencia/València,Tasa de paro de la población,2023T2,11.39
Ambos sexos,Valladolid,Tasa de paro de la población,2023T2,8.85
Ambos sexos,Zamora,Tasa de paro de la población,2023T2,11.48
Ambos sexos,Zaragoza,Tasa de paro de la población,2023T2,8.67
Ambos sexos,Ceuta,Tasa de paro de la población,2023T2,27.37
Ambos sexos,Melilla,Tasa de paro de la población,2023T2,19.42
